iter	Passed	Remaining
0	148	148117
1	149	74393
2	149	49802
3	150	37535
4	151	30130
5	152	25190
6	152	21659
7	153	19030
8	154	16957
9	154	15300
10	155	13953
11	155	12822
12	156	11869
13	156	11050
14	157	10344
15	158	9717
16	158	9174
17	159	8689
18	159	8257
19	160	7863
20	161	7506
21	161	7186
22	162	6899
23	163	6638
24	164	6405
25	165	6184
26	165	5973
27	166	5778
28	167	5594
29	167	5428
30	168	5271
31	169	5118
32	169	4978
33	170	4843
34	170	4714
35	171	4591
36	171	4475
37	172	4367
38	173	4264
39	173	4166
40	174	4073
41	174	3988
42	175	3906
43	176	3828
44	176	3752
45	177	3681
46	178	3614
47	178	3545
48	179	3480
49	179	3417
50	180	3356
51	181	3300
52	181	3244
53	182	3192
54	182	3140
55	183	3091
56	183	3042
57	184	2996
58	185	2951
59	185	2908
60	186	2865
61	186	2824
62	187	2784
63	187	2745
64	188	2707
65	188	2670
66	189	2634
67	189	2601
68	190	2568
69	190	2535
70	191	2506
71	192	2480
72	193	2451
73	194	2427
74	194	2403
75	195	2378
76	196	2353
77	197	2328
78	197	2303
79	198	2278
80	198	2254
81	199	2231
82	199	2204
83	200	2181
84	200	2159
85	201	2138
86	201	2117
87	202	2097
88	202	2077
89	203	2057
90	204	2038
91	204	2019
92	205	2001
93	205	1983
94	206	1967
95	207	1951
96	207	1935
97	208	1919
98	209	1904
99	209	1887
100	210	1872
101	210	1856
102	211	1842
103	212	1828
104	212	1813
105	213	1799
106	213	1784
107	214	1771
108	214	1756
109	215	1743
110	216	1730
111	216	1717
112	217	1704
113	217	1691
114	218	1678
115	218	1666
116	219	1654
117	219	1642
118	220	1631
119	220	1619
120	221	1609
121	222	1598
122	222	1587
123	223	1577
124	223	1567
125	224	1558
126	225	1548
127	226	1539
128	226	1530
129	227	1519
130	227	1510
131	228	1501
132	228	1492
133	229	1482
134	230	1474
135	230	1465
136	231	1456
137	231	1447
138	232	1439
139	232	1431
140	233	1422
141	233	1412
142	234	1404
143	235	1397
144	235	1388
145	236	1381
146	236	1374
147	237	1367
148	238	1360
149	238	1353
150	239	1346
151	240	1339
152	240	1331
153	241	1324
154	241	1317
155	242	1310
156	242	1302
